,ContrastType,effect,p_value,stat,z_score,Source,Detector,Chroma,Significant,ch_name,Condition
0,t,-4.0176439373001e-05,0.6890354719234062,-0.4934356822915718,-0.4931182221006151,1,1,hbo,False,S1_D1 hbo,Neutral
1,t,-9.262193036195927e-05,0.9458035075475513,-1.608436689086215,-1.6054582917917326,1,2,hbo,False,S1_D2 hbo,Neutral
2,t,-3.0264454472958243e-05,0.8430621902514827,-1.0081742244155762,-1.007123104518554,2,1,hbo,False,S2_D1 hbo,Neutral
3,t,-3.881164911269309e-05,0.645778999288763,-0.37417005849406076,-0.37394934750873093,2,3,hbo,False,S2_D3 hbo,Neutral
4,t,-3.591324029683455e-05,0.939594892640942,-1.5541223093735212,-1.551381797633891,3,2,hbo,False,S3_D2 hbo,Neutral
5,t,-3.17549742184967e-05,0.6287915278889258,-0.3288429296792803,-0.3286543742620774,3,3,hbo,False,S3_D3 hbo,Neutral
6,t,-4.626646029738104e-05,0.906086195288418,-1.3188997020512558,-1.317032862367769,3,4,hbo,False,S3_D4 hbo,Neutral
7,t,-0.00011440197001018514,0.8580305500982367,-1.072705566965787,-1.0715128414979853,4,2,hbo,False,S4_D2 hbo,Neutral
8,t,-3.75800922753392e-05,0.8183094915981846,-0.909801431134216,-0.9089414799185411,4,4,hbo,False,S4_D4 hbo,Neutral
9,t,-6.392163926485493e-05,0.6640839241536258,-0.4238935663488286,-0.42363482757052506,4,5,hbo,False,S4_D5 hbo,Neutral
10,t,-9.190539039495242e-05,0.9576369378123878,-1.7274500539417017,-1.7238987425833594,5,3,hbo,False,S5_D3 hbo,Neutral
11,t,-1.9203232836874888e-05,0.6636128139631365,-0.4226011276633514,-0.42234341681886006,5,4,hbo,False,S5_D4 hbo,Neutral
12,t,-6.657516104468862e-05,0.8774965295155371,-1.1639795539628233,-1.16256277586426,5,6,hbo,False,S5_D6 hbo,Neutral
13,t,-4.7843320562866375e-05,0.8082802691452602,-0.8723710135764632,-0.8715764884897189,6,4,hbo,False,S6_D4 hbo,Neutral
14,t,-4.384051168668348e-05,0.9241727815931651,-1.4359832268938764,-1.4337121033841167,6,5,hbo,False,S6_D5 hbo,Neutral
15,t,-5.5623982215314276e-05,0.7569944607411638,-0.6972031963599823,-0.6966672185962806,6,6,hbo,False,S6_D6 hbo,Neutral
16,t,-2.9546589157764307e-05,0.7741711801042552,-0.7532650850644624,-0.7526543645734036,7,5,hbo,False,S7_D5 hbo,Neutral
17,t,-7.321169025065741e-05,0.9728541007368037,-1.9291978476226554,-1.9245011355935835,7,7,hbo,False,S7_D7 hbo,Neutral
18,t,-6.046159900134653e-05,0.8280525511818492,-0.9474271919630429,-0.9464974983280224,8,6,hbo,False,S8_D6 hbo,Neutral
19,t,-3.830410565361663e-05,0.8981000391717047,-1.2725220687667813,-1.270799682712925,8,7,hbo,False,S8_D7 hbo,Neutral
20,t,-2.2482500063315503e-05,0.7128002812422785,-0.5619666296404082,-0.5615840684207137,1,1,hbr,False,S1_D1 hbr,Neutral
21,t,-5.5723698207781035e-06,0.5711626295781562,-0.17943074190259223,-0.17933490503237837,1,2,hbr,False,S1_D2 hbr,Neutral
22,t,9.92292380705747e-06,0.2535231118789818,0.663938888430673,0.663444015615285,2,1,hbr,False,S2_D1 hbr,Neutral
23,t,-4.229490567478867e-06,0.5367301536141841,-0.09224744255224192,-0.09219930179343214,2,3,hbr,False,S2_D3 hbr,Neutral
24,t,-2.308083407141958e-06,0.5802891276741919,-0.20274241425665324,-0.20263319205321106,3,2,hbr,False,S3_D2 hbr,Neutral
25,t,1.6580245478932897e-06,0.4848541574849114,0.03799381057858649,0.03797412177960411,3,3,hbr,False,S3_D3 hbr,Neutral
26,t,-9.109999653699666e-06,0.687255078429077,-0.4883976766497901,-0.4880847066470917,3,4,hbr,False,S3_D4 hbr,Neutral
27,t,-6.922219722856904e-05,0.8413921297860905,-1.0012325184244086,-1.0001958433524925,4,2,hbr,False,S4_D2 hbr,Neutral
28,t,-2.571923603359668e-07,0.5047008760658691,-0.011789723161985878,-0.011783621556545328,4,4,hbr,False,S4_D4 hbr,Neutral
29,t,-3.417255875364194e-06,0.5285935645961359,-0.07177224423907266,-0.07173491345156664,4,5,hbr,False,S4_D5 hbr,Neutral
