,ContrastType,effect,p_value,stat,z_score,Source,Detector,Chroma,Significant,ch_name,Condition
0,t,-9.696307370674166e-05,0.8773876027960283,-1.1634416418836522,-1.162026269638793,1,1,hbo,False,S1_D1 hbo,Inflammatory
1,t,-7.342517229171674e-05,0.8931788819628466,-1.2452538524660455,-1.2436124384705591,1,2,hbo,False,S1_D2 hbo,Inflammatory
2,t,-2.4875003166512972e-05,0.7915365050541329,-0.8124617386006683,-0.8117641269680343,2,1,hbo,False,S2_D1 hbo,Inflammatory
3,t,-0.00010445707441279548,0.8371418395827217,-0.9837798090543733,-0.9827787941977406,2,3,hbo,False,S2_D3 hbo,Inflammatory
4,t,-1.9865983362847135e-05,0.7991898674005133,-0.8394711701266812,-0.8387310233027386,3,2,hbo,False,S3_D2 hbo,Inflammatory
5,t,-6.05204133138829e-05,0.7296711336469481,-0.6122541546433049,-0.6118186747367487,3,3,hbo,False,S3_D3 hbo,Inflammatory
6,t,-4.971379122970702e-05,0.9164729673700567,-1.3838155969099588,-1.3817318039205047,3,4,hbo,False,S3_D4 hbo,Inflammatory
7,t,-2.5216626724782894e-05,0.5912939304882147,-0.23100061921728016,-0.23087470931636478,4,2,hbo,False,S4_D2 hbo,Inflammatory
8,t,-5.292015363874072e-05,0.8942695013171658,-1.2512170294492646,-1.2495581542169758,4,4,hbo,False,S4_D4 hbo,Inflammatory
9,t,-0.00013569003294303502,0.8101223130182476,-0.8791532109539458,-0.8783471162844919,4,5,hbo,False,S4_D5 hbo,Inflammatory
10,t,-0.00011522689154056331,0.9826847665019491,-2.118643741917149,-2.112653138127436,5,3,hbo,False,S5_D3 hbo,Inflammatory
11,t,-7.86467646605453e-06,0.5670672677150463,-0.16900245230796274,-0.16891250296269456,5,4,hbo,False,S5_D4 hbo,Inflammatory
12,t,-5.0023422442769925e-05,0.8034555525064839,-0.8547941642606465,-0.8540290475172251,5,6,hbo,False,S5_D6 hbo,Inflammatory
13,t,-4.789510543180151e-05,0.8029869104428051,-0.8531009430791779,-0.8523386158874245,6,4,hbo,False,S6_D4 hbo,Inflammatory
14,t,-1.252432671183524e-05,0.6562286833480195,-0.402434081024101,-0.4021921305362536,6,5,hbo,False,S6_D5 hbo,Inflammatory
15,t,-2.7287597190008373e-05,0.630779936229142,-0.33411191484590497,-0.3339197347263624,6,6,hbo,False,S6_D6 hbo,Inflammatory
16,t,-2.284871619555225e-05,0.715150953910356,-0.5688857619655141,-0.5684961897932582,7,5,hbo,False,S7_D5 hbo,Inflammatory
17,t,-5.880425462221613e-06,0.5601455976941347,-0.15141851717504554,-0.1513383678985749,7,7,hbo,False,S7_D7 hbo,Inflammatory
18,t,-7.341241013649028e-05,0.8691718254768463,-1.1237994369231288,-1.1224848417258997,8,6,hbo,False,S8_D6 hbo,Inflammatory
19,t,-3.310202720583586e-05,0.8605857029521462,-1.084173869052259,-1.0829545569494365,8,7,hbo,False,S8_D7 hbo,Inflammatory
20,t,-5.177520408498476e-05,0.8968911945276424,-1.2657365592009509,-1.2640345928748065,1,1,hbr,False,S1_D1 hbr,Inflammatory
